Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
116,5 of Clubs,J of Diamonds,J of Spades,8 of Spades,6 of Clubs,J of Hearts,8 of Clubs,3 of Diamonds,Q of Spades,10 of Diamonds,3 of Spades,6 of Spades,K of Hearts,K of Spades,7 of Spades
117,4 of Spades,7 of Spades,7 of Clubs,2 of Spades,10 of Spades,2 of Clubs,8 of Clubs,8 of Hearts,A of Diamonds,9 of Hearts,5 of Spades,J of Clubs,A of Hearts,4 of Hearts,3 of Hearts
118,A of Clubs,9 of Clubs,4 of Clubs,5 of Diamonds,J of Spades,J of Clubs,8 of Diamonds,K of Diamonds,4 of Spades,K of Hearts,10 of Clubs,6 of Spades,Q of Spades,3 of Clubs,K of Clubs
119,8 of Clubs,2 of Clubs,K of Spades,10 of Diamonds,8 of Spades,6 of Clubs,Q of Diamonds,A of Hearts,3 of Hearts,J of Spades,5 of Hearts,8 of Diamonds,5 of Spades,10 of Hearts,9 of Diamonds
120,6 of Hearts,2 of Hearts,4 of Spades,8 of Diamonds,Q of Clubs,3 of Clubs,Q of Diamonds,K of Clubs,7 of Clubs,9 of Spades,J of Diamonds,9 of Hearts,A of Hearts,J of Hearts,3 of Hearts
121,7 of Diamonds,K of Clubs,9 of Spades,J of Clubs,K of Hearts,Q of Diamonds,3 of Diamonds,3 of Clubs,K of Spades,7 of Hearts,5 of Clubs,4 of Hearts,8 of Hearts,8 of Diamonds,Q of Hearts
122,2 of Clubs,8 of Hearts,Q of Hearts,A of Hearts,3 of Clubs,J of Hearts,J of Diamonds,6 of Clubs,4 of Clubs,10 of Spades,9 of Hearts,K of Hearts,6 of Spades,4 of Diamonds,7 of Hearts
123,2 of Diamonds,5 of Hearts,7 of Hearts,3 of Clubs,7 of Clubs,2 of Hearts,K of Spades,J of Hearts,K of Clubs,8 of Spades,Q of Spades,9 of Clubs,Q of Diamonds,8 of Hearts,10 of Hearts
124,8 of Diamonds,7 of Hearts,7 of Diamonds,9 of Clubs,3 of Spades,5 of Spades,6 of Hearts,J of Spades,8 of Hearts,A of Hearts,K of Clubs,9 of Diamonds,3 of Hearts,7 of Spades,4 of Clubs
125,5 of Hearts,6 of Hearts,7 of Clubs,A of Diamonds,10 of Spades,6 of Diamonds,K of Hearts,K of Clubs,J of Diamonds,J of Hearts,4 of Spades,10 of Diamonds,8 of Spades,4 of Diamonds,J of Spades
126,4 of Spades,J of Clubs,7 of Spades,10 of Clubs,J of Spades,3 of Diamonds,Q of Diamonds,8 of Clubs,6 of Diamonds,6 of Clubs,9 of Diamonds,9 of Hearts,3 of Clubs,7 of Hearts,2 of Diamonds
127,2 of Diamonds,7 of Diamonds,3 of Hearts,9 of Spades,10 of Spades,5 of Diamonds,3 of Diamonds,7 of Clubs,6 of Diamonds,10 of Hearts,J of Hearts,J of Diamonds,7 of Hearts,2 of Hearts,8 of Spades
128,9 of Hearts,10 of Hearts,A of Spades,2 of Diamonds,10 of Diamonds,4 of Diamonds,6 of Diamonds,3 of Clubs,J of Spades,A of Clubs,4 of Spades,A of Diamonds,J of Clubs,5 of Clubs,10 of Spades
129,A of Clubs,A of Hearts,10 of Clubs,A of Diamonds,9 of Hearts,3 of Diamonds,J of Diamonds,5 of Clubs,6 of Spades,Q of Hearts,4 of Diamonds,Q of Spades,6 of Diamonds,5 of Diamonds,5 of Hearts
130,8 of Hearts,5 of Hearts,4 of Hearts,A of Clubs,10 of Clubs,K of Diamonds,3 of Diamonds,10 of Diamonds,J of Spades,9 of Hearts,6 of Hearts,J of Clubs,2 of Hearts,4 of Diamonds,5 of Clubs
131,Q of Clubs,J of Diamonds,K of Diamonds,8 of Clubs,8 of Diamonds,7 of Spades,A of Diamonds,2 of Diamonds,2 of Spades,9 of Hearts,4 of Hearts,6 of Clubs,6 of Spades,5 of Hearts,10 of Diamonds
132,3 of Spades,6 of Spades,3 of Clubs,K of Spades,5 of Clubs,A of Spades,7 of Spades,8 of Spades,4 of Hearts,3 of Diamonds,8 of Diamonds,J of Clubs,Q of Clubs,10 of Hearts,Q of Diamonds
133,6 of Hearts,2 of Hearts,9 of Spades,6 of Diamonds,5 of Hearts,7 of Spades,K of Diamonds,7 of Hearts,3 of Hearts,10 of Clubs,10 of Diamonds,A of Clubs,K of Spades,3 of Diamonds,6 of Clubs
134,Q of Diamonds,7 of Diamonds,J of Spades,2 of Hearts,3 of Diamonds,4 of Spades,9 of Hearts,A of Diamonds,7 of Clubs,8 of Diamonds,Q of Spades,4 of Clubs,K of Spades,A of Hearts,Q of Clubs
135,2 of Spades,8 of Hearts,8 of Clubs,4 of Clubs,9 of Spades,J of Hearts,6 of Hearts,2 of Clubs,3 of Clubs,3 of Hearts,K of Diamonds,6 of Spades,4 of Hearts,10 of Diamonds,5 of Spades
136,4 of Spades,J of Clubs,4 of Diamonds,6 of Diamonds,2 of Spades,3 of Spades,4 of Clubs,3 of Clubs,10 of Clubs,A of Hearts,9 of Clubs,6 of Hearts,9 of Spades,2 of Clubs,10 of Hearts
137,5 of Clubs,K of Hearts,4 of Spades,8 of Diamonds,3 of Hearts,6 of Hearts,6 of Diamonds,4 of Hearts,4 of Diamonds,2 of Clubs,Q of Spades,3 of Clubs,3 of Spades,Q of Clubs,9 of Hearts
138,3 of Spades,4 of Spades,A of Clubs,5 of Clubs,4 of Hearts,8 of Hearts,J of Spades,9 of Spades,5 of Spades,9 of Clubs,9 of Hearts,3 of Clubs,5 of Hearts,K of Clubs,Q of Clubs
139,7 of Spades,8 of Clubs,A of Hearts,5 of Clubs,6 of Hearts,Q of Clubs,Q of Hearts,4 of Hearts,A of Spades,3 of Diamonds,9 of Clubs,6 of Spades,6 of Clubs,7 of Diamonds,5 of Diamonds
140,4 of Clubs,9 of Clubs,Q of Spades,6 of Diamonds,A of Hearts,J of Hearts,6 of Hearts,A of Clubs,2 of Hearts,6 of Clubs,7 of Diamonds,2 of Clubs,10 of Hearts,10 of Clubs,2 of Spades
141,7 of Hearts,Q of Spades,K of Spades,2 of Clubs,2 of Spades,3 of Clubs,6 of Clubs,J of Spades,9 of Spades,4 of Spades,J of Clubs,A of Spades,4 of Diamonds,5 of Diamonds,10 of Diamonds
142,Q of Diamonds,A of Diamonds,9 of Hearts,Q of Spades,Q of Hearts,7 of Hearts,J of Clubs,5 of Clubs,4 of Clubs,10 of Clubs,5 of Spades,5 of Hearts,10 of Diamonds,A of Clubs,8 of Spades
143,7 of Hearts,3 of Clubs,4 of Hearts,A of Spades,K of Spades,2 of Spades,9 of Diamonds,6 of Diamonds,6 of Hearts,7 of Spades,J of Spades,3 of Spades,J of Clubs,10 of Hearts,A of Diamonds
144,5 of Diamonds,Q of Diamonds,6 of Hearts,4 of Spades,3 of Hearts,2 of Clubs,J of Clubs,8 of Diamonds,6 of Diamonds,7 of Hearts,4 of Hearts,3 of Spades,J of Spades,2 of Hearts,J of Hearts
145,3 of Hearts,9 of Spades,6 of Clubs,7 of Spades,8 of Spades,Q of Hearts,10 of Spades,2 of Clubs,J of Clubs,A of Spades,10 of Diamonds,3 of Spades,3 of Diamonds,8 of Diamonds,2 of Spades
146,A of Diamonds,K of Diamonds,J of Hearts,A of Hearts,10 of Hearts,6 of Clubs,3 of Diamonds,9 of Hearts,10 of Clubs,7 of Spades,K of Spades,J of Diamonds,J of Clubs,4 of Clubs,5 of Spades
147,3 of Clubs,2 of Spades,9 of Spades,9 of Clubs,Q of Diamonds,5 of Hearts,J of Diamonds,Q of Spades,2 of Clubs,6 of Hearts,2 of Diamonds,A of Diamonds,K of Clubs,A of Spades,6 of Spades
148,5 of Clubs,K of Clubs,9 of Spades,Q of Clubs,4 of Diamonds,5 of Diamonds,A of Clubs,10 of Hearts,J of Hearts,8 of Hearts,A of Diamonds,7 of Diamonds,3 of Spades,Q of Diamonds,4 of Clubs
149,10 of Spades,9 of Diamonds,Q of Diamonds,J of Spades,6 of Hearts,6 of Diamonds,K of Hearts,J of Clubs,A of Diamonds,10 of Hearts,7 of Diamonds,8 of Clubs,8 of Spades,9 of Hearts,3 of Clubs
150,2 of Diamonds,Q of Diamonds,4 of Diamonds,K of Clubs,6 of Spades,Q of Hearts,7 of Clubs,6 of Diamonds,8 of Hearts,3 of Diamonds,6 of Clubs,A of Clubs,9 of Spades,J of Diamonds,4 of Clubs
151,7 of Spades,K of Diamonds,4 of Clubs,9 of Diamonds,A of Diamonds,4 of Hearts,K of Clubs,10 of Diamonds,9 of Spades,2 of Clubs,6 of Hearts,Q of Hearts,6 of Clubs,5 of Diamonds,6 of Spades
152,6 of Diamonds,8 of Spades,K of Clubs,10 of Hearts,2 of Hearts,5 of Clubs,6 of Clubs,10 of Diamonds,2 of Spades,7 of Spades,A of Hearts,K of Hearts,10 of Spades,Q of Spades,9 of Hearts
153,10 of Spades,Q of Hearts,6 of Clubs,9 of Hearts,4 of Spades,10 of Clubs,6 of Hearts,3 of Clubs,5 of Diamonds,2 of Diamonds,7 of Hearts,2 of Clubs,10 of Hearts,K of Diamonds,3 of Spades
154,K of Diamonds,8 of Clubs,J of Clubs,4 of Diamonds,6 of Spades,2 of Hearts,K of Hearts,A of Spades,10 of Hearts,9 of Diamonds,7 of Diamonds,4 of Clubs,3 of Clubs,A of Clubs,5 of Spades
155,A of Hearts,10 of Spades,7 of Spades,9 of Hearts,4 of Hearts,2 of Spades,Q of Hearts,J of Diamonds,A of Diamonds,7 of Hearts,10 of Hearts,9 of Spades,9 of Clubs,7 of Diamonds,2 of Diamonds
156,4 of Hearts,K of Hearts,6 of Hearts,6 of Spades,7 of Hearts,J of Spades,Q of Clubs,2 of Hearts,A of Hearts,4 of Diamonds,2 of Diamonds,8 of Diamonds,A of Diamonds,6 of Diamonds,10 of Diamonds
157,7 of Clubs,6 of Spades,A of Diamonds,10 of Diamonds,3 of Diamonds,2 of Spades,Q of Spades,5 of Hearts,3 of Hearts,8 of Hearts,Q of Hearts,A of Hearts,5 of Clubs,10 of Hearts,9 of Hearts
158,Q of Diamonds,2 of Hearts,A of Hearts,K of Clubs,6 of Clubs,4 of Spades,8 of Spades,K of Diamonds,J of Diamonds,6 of Spades,A of Diamonds,4 of Clubs,J of Hearts,Q of Spades,8 of Clubs
159,Q of Spades,4 of Clubs,J of Hearts,Q of Hearts,3 of Spades,K of Spades,8 of Diamonds,A of Clubs,J of Spades,2 of Spades,Q of Clubs,6 of Spades,8 of Hearts,4 of Spades,J of Clubs
160,10 of Spades,5 of Diamonds,10 of Hearts,5 of Hearts,3 of Diamonds,J of Clubs,6 of Diamonds,2 of Hearts,3 of Hearts,A of Diamonds,2 of Spades,4 of Diamonds,5 of Spades,6 of Hearts,7 of Diamonds
161,4 of Clubs,9 of Diamonds,6 of Clubs,10 of Clubs,4 of Hearts,2 of Clubs,9 of Clubs,Q of Hearts,10 of Hearts,J of Spades,A of Clubs,5 of Diamonds,Q of Spades,7 of Clubs,K of Hearts
162,9 of Diamonds,5 of Clubs,5 of Spades,7 of Spades,9 of Clubs,6 of Diamonds,8 of Hearts,A of Diamonds,J of Hearts,J of Clubs,2 of Clubs,6 of Spades,6 of Hearts,J of Spades,8 of Spades
163,8 of Spades,8 of Hearts,J of Spades,K of Hearts,8 of Diamonds,9 of Hearts,10 of Clubs,A of Hearts,5 of Hearts,6 of Clubs,5 of Spades,4 of Diamonds,7 of Diamonds,Q of Clubs,A of Spades
164,9 of Hearts,A of Clubs,8 of Spades,5 of Spades,A of Spades,6 of Hearts,8 of Hearts,10 of Clubs,4 of Spades,4 of Diamonds,A of Diamonds,K of Clubs,J of Diamonds,6 of Clubs,4 of Hearts
165,4 of Spades,8 of Hearts,A of Diamonds,A of Spades,5 of Hearts,A of Hearts,J of Clubs,3 of Hearts,7 of Diamonds,10 of Diamonds,8 of Clubs,7 of Clubs,6 of Diamonds,4 of Clubs,2 of Hearts
166,A of Spades,8 of Hearts,5 of Diamonds,8 of Spades,5 of Spades,K of Hearts,3 of Clubs,5 of Hearts,7 of Spades,8 of Diamonds,6 of Clubs,7 of Hearts,5 of Clubs,J of Clubs,3 of Hearts
167,J of Clubs,2 of Clubs,10 of Hearts,6 of Hearts,5 of Spades,4 of Hearts,8 of Hearts,10 of Spades,K of Hearts,7 of Spades,J of Hearts,2 of Diamonds,2 of Hearts,6 of Spades,6 of Clubs
168,9 of Diamonds,4 of Clubs,4 of Spades,8 of Spades,Q of Spades,7 of Spades,7 of Hearts,4 of Hearts,Q of Diamonds,2 of Spades,9 of Hearts,4 of Diamonds,7 of Diamonds,K of Hearts,9 of Clubs
169,9 of Diamonds,K of Hearts,J of Spades,4 of Hearts,8 of Diamonds,6 of Hearts,4 of Clubs,J of Diamonds,Q of Spades,2 of Hearts,2 of Spades,6 of Spades,3 of Spades,4 of Diamonds,4 of Spades
170,8 of Clubs,3 of Spades,3 of Hearts,Q of Hearts,9 of Spades,7 of Hearts,10 of Clubs,10 of Hearts,J of Diamonds,9 of Clubs,K of Spades,4 of Spades,K of Hearts,4 of Diamonds,2 of Diamonds
171,9 of Spades,7 of Spades,2 of Clubs,A of Hearts,3 of Diamonds,5 of Spades,9 of Hearts,Q of Hearts,2 of Diamonds,5 of Hearts,9 of Clubs,10 of Hearts,8 of Hearts,6 of Hearts,10 of Clubs
172,2 of Clubs,8 of Hearts,7 of Diamonds,J of Diamonds,Q of Clubs,2 of Diamonds,10 of Spades,3 of Spades,Q of Spades,J of Clubs,6 of Clubs,2 of Spades,A of Diamonds,Q of Hearts,8 of Clubs
173,4 of Hearts,9 of Diamonds,4 of Clubs,Q of Clubs,9 of Clubs,K of Clubs,2 of Diamonds,7 of Spades,3 of Spades,8 of Clubs,3 of Diamonds,Q of Hearts,J of Hearts,5 of Hearts,J of Clubs
174,J of Diamonds,K of Hearts,8 of Diamonds,A of Clubs,6 of Spades,3 of Diamonds,7 of Hearts,10 of Clubs,5 of Spades,10 of Spades,J of Hearts,8 of Clubs,Q of Spades,J of Clubs,7 of Spades
175,10 of Spades,Q of Diamonds,9 of Clubs,2 of Spades,6 of Diamonds,K of Diamonds,4 of Spades,10 of Clubs,7 of Clubs,4 of Clubs,8 of Diamonds,J of Clubs,2 of Clubs,3 of Diamonds,7 of Spades
176,10 of Spades,4 of Diamonds,6 of Clubs,J of Spades,3 of Hearts,3 of Spades,2 of Spades,2 of Clubs,A of Spades,6 of Spades,4 of Clubs,9 of Clubs,Q of Diamonds,3 of Clubs,5 of Spades
177,J of Diamonds,2 of Hearts,3 of Diamonds,K of Diamonds,8 of Spades,J of Hearts,8 of Clubs,2 of Clubs,9 of Hearts,5 of Diamonds,4 of Spades,K of Hearts,5 of Hearts,6 of Spades,A of Hearts
178,J of Spades,10 of Hearts,7 of Diamonds,6 of Clubs,2 of Spades,K of Hearts,9 of Clubs,9 of Spades,A of Diamonds,7 of Hearts,K of Diamonds,3 of Clubs,5 of Spades,10 of Diamonds,2 of Hearts
179,J of Hearts,6 of Clubs,7 of Hearts,9 of Spades,5 of Hearts,J of Spades,4 of Clubs,5 of Clubs,A of Clubs,Q of Spades,A of Hearts,K of Hearts,3 of Diamonds,9 of Clubs,5 of Diamonds
180,A of Diamonds,6 of Diamonds,7 of Hearts,Q of Diamonds,8 of Hearts,K of Spades,2 of Hearts,6 of Clubs,K of Diamonds,8 of Spades,2 of Clubs,J of Diamonds,4 of Spades,Q of Hearts,8 of Clubs
181,Q of Clubs,8 of Diamonds,8 of Hearts,9 of Spades,J of Clubs,5 of Clubs,A of Diamonds,9 of Clubs,Q of Hearts,10 of Diamonds,5 of Diamonds,4 of Spades,4 of Diamonds,Q of Diamonds,6 of Diamonds
182,4 of Diamonds,2 of Hearts,K of Clubs,3 of Hearts,A of Clubs,5 of Clubs,6 of Diamonds,K of Spades,8 of Diamonds,Q of Clubs,J of Clubs,6 of Spades,7 of Spades,A of Diamonds,3 of Clubs
183,6 of Hearts,A of Hearts,Q of Spades,3 of Diamonds,8 of Spades,5 of Hearts,6 of Spades,A of Clubs,8 of Clubs,4 of Clubs,4 of Hearts,J of Clubs,5 of Spades,Q of Hearts,Q of Diamonds
184,A of Diamonds,2 of Hearts,8 of Clubs,K of Hearts,A of Hearts,4 of Clubs,A of Clubs,9 of Diamonds,K of Spades,3 of Hearts,2 of Spades,Q of Hearts,4 of Spades,3 of Spades,10 of Spades
185,Q of Diamonds,8 of Diamonds,K of Spades,4 of Diamonds,2 of Hearts,3 of Hearts,9 of Spades,3 of Clubs,10 of Clubs,K of Diamonds,6 of Hearts,A of Diamonds,9 of Hearts,10 of Spades,8 of Clubs
186,K of Hearts,4 of Hearts,7 of Clubs,J of Hearts,3 of Clubs,7 of Spades,4 of Clubs,10 of Diamonds,K of Clubs,9 of Hearts,Q of Clubs,A of Spades,A of Diamonds,6 of Clubs,3 of Hearts
187,J of Spades,9 of Hearts,Q of Clubs,A of Hearts,10 of Diamonds,6 of Spades,9 of Diamonds,2 of Hearts,4 of Spades,Q of Spades,3 of Hearts,J of Diamonds,5 of Spades,3 of Spades,A of Clubs
188,8 of Hearts,Q of Spades,8 of Clubs,Q of Hearts,A of Diamonds,K of Clubs,4 of Clubs,10 of Clubs,5 of Spades,10 of Spades,7 of Hearts,4 of Diamonds,9 of Diamonds,8 of Diamonds,3 of Hearts
189,10 of Diamonds,2 of Hearts,K of Clubs,J of Clubs,Q of Clubs,A of Hearts,J of Diamonds,K of Diamonds,A of Spades,8 of Diamonds,6 of Spades,10 of Spades,8 of Clubs,J of Spades,K of Hearts
190,Q of Diamonds,Q of Hearts,5 of Clubs,2 of Spades,7 of Diamonds,6 of Spades,8 of Spades,4 of Spades,A of Spades,J of Hearts,10 of Diamonds,K of Clubs,7 of Clubs,4 of Diamonds,6 of Clubs
191,9 of Diamonds,Q of Spades,3 of Clubs,10 of Hearts,K of Diamonds,K of Clubs,9 of Hearts,6 of Clubs,2 of Diamonds,A of Hearts,6 of Spades,5 of Hearts,J of Spades,5 of Clubs,8 of Diamonds
192,8 of Spades,K of Hearts,10 of Clubs,J of Hearts,J of Clubs,6 of Diamonds,8 of Hearts,8 of Diamonds,Q of Diamonds,3 of Diamonds,A of Clubs,5 of Hearts,6 of Clubs,9 of Clubs,4 of Diamonds
193,4 of Diamonds,2 of Diamonds,10 of Hearts,K of Spades,K of Clubs,A of Spades,3 of Hearts,7 of Hearts,J of Diamonds,8 of Clubs,5 of Diamonds,Q of Spades,9 of Diamonds,9 of Spades,J of Spades
194,A of Diamonds,9 of Diamonds,7 of Clubs,J of Diamonds,J of Clubs,K of Clubs,8 of Spades,6 of Clubs,5 of Hearts,10 of Hearts,3 of Diamonds,6 of Hearts,9 of Hearts,A of Spades,2 of Clubs
195,6 of Spades,7 of Clubs,3 of Hearts,Q of Spades,4 of Spades,Q of Diamonds,9 of Hearts,3 of Spades,Q of Clubs,K of Hearts,5 of Clubs,A of Hearts,5 of Spades,8 of Diamonds,K of Diamonds
196,K of Diamonds,8 of Clubs,7 of Diamonds,6 of Hearts,3 of Clubs,J of Clubs,Q of Hearts,2 of Diamonds,Q of Clubs,6 of Clubs,2 of Spades,3 of Spades,4 of Diamonds,7 of Hearts,2 of Hearts
197,4 of Hearts,7 of Diamonds,Q of Hearts,3 of Clubs,4 of Clubs,7 of Clubs,4 of Diamonds,10 of Spades,5 of Clubs,3 of Hearts,2 of Diamonds,10 of Clubs,J of Clubs,7 of Hearts,Q of Spades
198,7 of Spades,9 of Spades,J of Clubs,9 of Diamonds,K of Spades,2 of Spades,6 of Hearts,10 of Spades,Q of Hearts,5 of Hearts,A of Hearts,10 of Diamonds,Q of Clubs,5 of Diamonds,8 of Clubs
199,9 of Clubs,9 of Diamonds,3 of Diamonds,10 of Hearts,7 of Spades,4 of Diamonds,5 of Diamonds,7 of Diamonds,8 of Diamonds,4 of Clubs,9 of Spades,A of Diamonds,J of Hearts,9 of Hearts,8 of Hearts
200,A of Spades,9 of Diamonds,K of Spades,Q of Spades,10 of Clubs,4 of Spades,10 of Spades,6 of Spades,5 of Clubs,8 of Spades,A of Clubs,Q of Clubs,J of Diamonds,7 of Hearts,10 of Hearts
201,4 of Spades,10 of Hearts,K of Clubs,J of Diamonds,7 of Diamonds,9 of Diamonds,2 of Spades,10 of Spades,6 of Clubs,6 of Spades,5 of Hearts,A of Diamonds,A of Spades,J of Clubs,Q of Diamonds
202,7 of Hearts,6 of Spades,Q of Hearts,5 of Hearts,7 of Diamonds,A of Clubs,4 of Clubs,A of Diamonds,2 of Diamonds,5 of Spades,8 of Spades,9 of Diamonds,3 of Spades,10 of Hearts,8 of Clubs
203,10 of Diamonds,4 of Spades,5 of Clubs,4 of Diamonds,6 of Diamonds,A of Diamonds,J of Hearts,8 of Hearts,2 of Clubs,Q of Clubs,8 of Spades,8 of Diamonds,K of Spades,7 of Diamonds,K of Hearts
204,6 of Spades,K of Hearts,9 of Diamonds,9 of Spades,K of Clubs,5 of Clubs,A of Diamonds,7 of Clubs,Q of Clubs,3 of Hearts,4 of Diamonds,8 of Spades,7 of Diamonds,10 of Clubs,10 of Spades
205,5 of Diamonds,7 of Hearts,J of Clubs,6 of Diamonds,6 of Clubs,8 of Hearts,K of Diamonds,4 of Diamonds,5 of Clubs,3 of Clubs,A of Diamonds,A of Hearts,Q of Spades,9 of Clubs,Q of Hearts
206,5 of Clubs,J of Clubs,K of Hearts,10 of Clubs,6 of Hearts,2 of Spades,4 of Hearts,A of Diamonds,Q of Diamonds,4 of Spades,5 of Diamonds,A of Hearts,3 of Spades,8 of Spades,10 of Hearts
207,4 of Spades,6 of Clubs,7 of Diamonds,A of Hearts,9 of Clubs,9 of Diamonds,5 of Spades,10 of Spades,2 of Clubs,7 of Clubs,4 of Hearts,3 of Clubs,10 of Hearts,5 of Diamonds,A of Clubs
208,7 of Hearts,4 of Clubs,7 of Spades,3 of Hearts,K of Spades,6 of Diamonds,K of Hearts,5 of Spades,4 of Hearts,K of Clubs,2 of Hearts,A of Hearts,3 of Clubs,10 of Diamonds,Q of Spades
209,A of Diamonds,5 of Diamonds,6 of Clubs,5 of Hearts,7 of Hearts,9 of Diamonds,J of Clubs,7 of Clubs,10 of Clubs,8 of Spades,A of Spades,K of Spades,9 of Clubs,J of Hearts,10 of Hearts
210,K of Hearts,Q of Clubs,J of Hearts,6 of Spades,10 of Diamonds,9 of Diamonds,3 of Spades,A of Diamonds,8 of Hearts,6 of Clubs,K of Clubs,3 of Hearts,4 of Hearts,4 of Spades,2 of Spades
211,9 of Hearts,10 of Hearts,Q of Diamonds,9 of Spades,K of Diamonds,A of Hearts,Q of Spades,K of Clubs,10 of Clubs,8 of Spades,7 of Diamonds,J of Diamonds,A of Spades,J of Hearts,6 of Spades
212,3 of Diamonds,8 of Hearts,9 of Clubs,4 of Clubs,9 of Diamonds,3 of Spades,2 of Diamonds,5 of Clubs,9 of Spades,Q of Spades,J of Spades,K of Diamonds,K of Hearts,A of Diamonds,8 of Clubs
213,7 of Clubs,9 of Hearts,5 of Hearts,J of Hearts,J of Diamonds,8 of Diamonds,K of Hearts,4 of Hearts,J of Clubs,3 of Diamonds,8 of Spades,A of Hearts,3 of Clubs,A of Diamonds,5 of Clubs
214,9 of Hearts,J of Spades,5 of Spades,7 of Diamonds,9 of Spades,J of Clubs,A of Hearts,7 of Clubs,8 of Diamonds,Q of Hearts,Q of Clubs,4 of Spades,8 of Clubs,6 of Hearts,K of Spades
215,3 of Hearts,5 of Clubs,Q of Clubs,Q of Spades,Q of Hearts,9 of Diamonds,4 of Clubs,6 of Diamonds,2 of Diamonds,6 of Clubs,8 of Hearts,6 of Hearts,J of Hearts,K of Spades,2 of Hearts
216,A of Diamonds,4 of Hearts,8 of Diamonds,A of Spades,K of Spades,6 of Spades,2 of Spades,5 of Clubs,5 of Diamonds,3 of Hearts,8 of Spades,6 of Diamonds,3 of Spades,6 of Hearts,J of Diamonds
217,4 of Diamonds,K of Clubs,6 of Diamonds,Q of Hearts,Q of Spades,10 of Clubs,2 of Diamonds,10 of Diamonds,3 of Diamonds,A of Hearts,10 of Hearts,A of Diamonds,2 of Spades,9 of Spades,J of Diamonds
218,5 of Hearts,4 of Spades,J of Spades,4 of Diamonds,9 of Diamonds,3 of Diamonds,Q of Hearts,4 of Clubs,3 of Clubs,6 of Clubs,A of Spades,9 of Hearts,2 of Hearts,6 of Hearts,J of Diamonds
219,8 of Hearts,8 of Spades,6 of Spades,7 of Spades,4 of Hearts,9 of Diamonds,2 of Diamonds,10 of Diamonds,9 of Spades,7 of Diamonds,10 of Spades,J of Spades,5 of Hearts,9 of Clubs,4 of Spades
220,K of Clubs,K of Spades,3 of Spades,9 of Hearts,7 of Hearts,7 of Clubs,4 of Clubs,6 of Diamonds,10 of Clubs,2 of Hearts,8 of Clubs,4 of Diamonds,Q of Spades,3 of Diamonds,7 of Spades
221,Q of Hearts,2 of Diamonds,8 of Diamonds,10 of Diamonds,9 of Spades,2 of Spades,A of Hearts,9 of Diamonds,3 of Diamonds,5 of Hearts,3 of Hearts,J of Clubs,K of Hearts,8 of Clubs,10 of Hearts
222,J of Hearts,K of Diamonds,9 of Hearts,Q of Diamonds,3 of Diamonds,7 of Hearts,J of Spades,9 of Diamonds,9 of Spades,A of Diamonds,Q of Hearts,10 of Spades,6 of Clubs,6 of Spades,8 of Spades
223,9 of Clubs,A of Clubs,K of Hearts,9 of Hearts,J of Hearts,5 of Diamonds,8 of Spades,6 of Hearts,10 of Clubs,5 of Hearts,7 of Hearts,8 of Hearts,7 of Diamonds,7 of Clubs,K of Diamonds
224,8 of Clubs,3 of Hearts,5 of Clubs,J of Hearts,K of Clubs,10 of Diamonds,3 of Spades,J of Spades,4 of Hearts,K of Hearts,10 of Clubs,7 of Clubs,10 of Spades,J of Diamonds,Q of Clubs
225,A of Clubs,4 of Diamonds,A of Spades,J of Diamonds,2 of Hearts,4 of Clubs,8 of Clubs,9 of Diamonds,A of Diamonds,7 of Hearts,A of Hearts,10 of Hearts,10 of Spades,5 of Diamonds,9 of Hearts
226,6 of Spades,6 of Diamonds,2 of Diamonds,5 of Diamonds,10 of Clubs,9 of Clubs,A of Hearts,J of Hearts,K of Hearts,8 of Spades,J of Diamonds,3 of Spades,3 of Diamonds,2 of Hearts,K of Clubs
227,2 of Spades,5 of Hearts,5 of Diamonds,2 of Clubs,K of Spades,K of Clubs,2 of Hearts,K of Hearts,6 of Diamonds,6 of Hearts,3 of Diamonds,J of Diamonds,6 of Spades,4 of Hearts,4 of Spades
228,7 of Clubs,7 of Hearts,10 of Clubs,7 of Spades,J of Spades,6 of Spades,Q of Clubs,A of Hearts,K of Spades,9 of Diamonds,5 of Diamonds,3 of Diamonds,2 of Diamonds,3 of Hearts,7 of Diamonds
229,7 of Clubs,2 of Clubs,9 of Spades,9 of Hearts,10 of Hearts,5 of Spades,4 of Hearts,4 of Diamonds,5 of Hearts,10 of Spades,9 of Diamonds,Q of Spades,K of Diamonds,3 of Hearts,K of Clubs
230,7 of Hearts,7 of Clubs,K of Clubs,K of Spades,K of Hearts,8 of Diamonds,6 of Spades,10 of Hearts,A of Clubs,9 of Spades,4 of Clubs,3 of Diamonds,3 of Spades,5 of Spades,8 of Spades
231,9 of Spades,K of Spades,A of Clubs,8 of Diamonds,6 of Hearts,10 of Hearts,J of Spades,2 of Spades,5 of Hearts,5 of Spades,9 of Hearts,4 of Clubs,3 of Diamonds,5 of Clubs,A of Spades
232,9 of Spades,J of Diamonds,3 of Hearts,9 of Clubs,A of Spades,7 of Diamonds,J of Spades,4 of Clubs,8 of Hearts,A of Clubs,10 of Spades,K of Spades,8 of Clubs,J of Hearts,6 of Diamonds
